iter,genotype,score,loss
2,251364,0.2968,1.8919528116226196
2,251364,0.2968,1.8919528116226196
2,638881,0.2963,1.933001256942749
2,974084,0.2952,1.9554281591415406
2,353633,0.2852,2.034493379974365
2,362546,0.2851,1.9384085758209229
2,54564,0.2789,1.9579951993942262
2,601901,0.2774,2.4087357814788817
2,912545,0.2764,2.0501859573364256
2,659137,0.2763,1.9837141868591308
2,689896,0.2758,1.9218738973617553
2,658113,0.2747,1.9805304775238037
2,809697,0.2735,2.0442873775482178
2,598049,0.2712,2.041876958656311
2,695524,0.2704,2.039980395889282
2,478311,0.2682,2.5753844665527343
2,469761,0.2678,1.9888427696228028
2,898822,0.2655,2.2190183128356935
2,737601,0.2555,2.056467671203613
2,222722,0.2457,2.086664287185669
2,1035113,0.1994,10.094358638000488
2,120179,0.1987,4.962303816986084
2,990375,0.1971,9.002598309326173
2,36510,0.1825,5.978362815856934
2,40855,0.1798,3.4624106842041016
2,856252,0.1553,12.364735040283204
2,124988,0.1353,8.792071621704102
2,497628,0.1267,9.27207936706543
2,776303,0.1203,11.485188687133789
2,255708,0.118,14.171747735595703
2,698868,0.1158,14.172676684570312
2,741035,0.1077,14.357667001342774
2,696827,0.1065,14.378632623291015
2,641654,0.1057,14.389362496948243
2,459826,0.1031,2.3085523628234865
2,972022,0.1025,14.446494082641602
2,196335,0.1015,8.63133589630127
2,944846,0.1007,14.459949993896485
2,51805,0.1003,14.495977670288086
2,96855,0.1,14.506285684204101
2,1004020,0.1,14.506285678100586
2,686679,0.1,14.506285684204101
2,247663,0.1,14.50628567199707
2,220892,0.1,14.505451782226562
2,585405,0.1,14.50628567199707
2,650222,0.1,14.506197775268555
2,582263,0.1,14.50628564453125
2,350937,0.1,14.50628570251465
2,424121,0.1,14.50628570251465
2,883612,0.1,14.506285690307617
2,652587,0.1,14.503238442993164
2,878260,0.1,14.50628571472168
2,700927,0.1,14.506285662841798
2,801784,0.1,14.50628567199707
3,135629,0.4181,1.6401315692901612
3,280665,0.4009,1.677261766242981
3,283735,0.4005,1.6632710382461549
3,873559,0.4005,1.6632710382461549
3,477478,0.3993,1.6746228921890258
3,1018358,0.3989,1.670240961074829
3,280667,0.3971,1.6850145280838014
3,318695,0.3915,1.694687914276123
3,318695,0.3915,1.694687914276123
3,888047,0.386,1.7006436141967773
3,659944,0.386,1.702875496864319
3,134354,0.3843,1.749918274116516
3,134354,0.3843,1.749918274116516
3,134354,0.3843,1.749918274116516
3,335843,0.3752,1.7418765403747558
3,995470,0.3747,1.7749741521835327
3,967846,0.3744,1.758033916091919
3,265432,0.3742,1.7359396348953247
3,281816,0.3742,1.7359396348953247
3,904162,0.3738,1.726848462677002
3,726163,0.3691,1.7653363359451293
3,602467,0.368,1.7545674699783325
3,368327,0.367,1.7627187122344972
3,969830,0.3656,1.7620662242889404
3,871525,0.3654,1.7547717805862426
3,124644,0.3616,1.770705403137207
3,476327,0.3597,1.7604409147262574
3,941029,0.3583,1.7530071605682374
3,313415,0.3565,1.8282524583816528
3,1020485,0.3558,1.774478373527527
3,787674,0.3548,1.8352242670059205
3,789837,0.3529,1.7897365098953246
3,992739,0.3526,1.806378809928894
3,187365,0.3526,1.7948891054153442
3,658122,0.3525,1.7844697982788087
3,676037,0.3521,1.8206538131713867
3,133330,0.3511,1.824114666557312
3,952776,0.3501,1.7851994159698485
3,952776,0.3501,1.7851994159698485
3,952776,0.3501,1.7851994159698485
3,919006,0.3499,1.8209730382919311
3,154747,0.3474,1.8199710914611817
3,690866,0.3439,1.8322706569671632
3,690866,0.3439,1.8322706569671632
3,919000,0.3424,1.8501301250457765
3,337976,0.341,1.8004804859161376
3,981954,0.3405,1.7987700584411621
3,952780,0.3386,1.8036002676010132
3,648259,0.3368,1.8348188095092774
3,314518,0.3367,1.8505567844390869
3,551655,0.336,1.8210508945465087
3,629814,0.3301,1.8490395961761474
3,494841,0.3286,1.9453506099700928
3,691533,0.3274,1.8825347040176392
3,605223,0.322,1.8601130258560181
3,745509,0.3218,1.839269825744629
3,384743,0.32,1.8513806392669678
3,919717,0.3191,1.9025407974243165
3,302279,0.3158,1.9010523166656494
3,322787,0.3154,1.9424933525085448
3,180298,0.315,1.8640559587478638
3,951967,0.3126,1.826642834854126
3,670693,0.3111,1.919189931869507
3,36483,0.3034,1.9458486103057862
3,494026,0.3029,2.013794053649902
3,952720,0.3006,1.9870037937164307
3,64676,0.2994,1.9400924055099487
3,251387,0.2968,1.8919528116226196
3,251364,0.2968,1.8919528116226196
3,690035,0.2885,1.9497971878051759
3,353633,0.2852,2.034493379974365
3,395777,0.2818,2.020354193496704
3,219375,0.2698,2.081330682373047
3,264769,0.265,2.057507561683655
3,991266,0.2643,2.0437490964889524
3,427107,0.264,2.023704302597046
3,337078,0.2627,3.1809089630126954
3,737601,0.2555,2.056467671203613
3,218598,0.2513,2.1104517692565916
3,598177,0.2378,2.122550372886658
3,1045703,0.2357,3.3144555355072023
3,732300,0.2336,2.9421112018585207
3,209359,0.1714,4.37846745223999
3,380305,0.17,4.529512511444092
3,386292,0.163,12.963789639282227
3,694773,0.153,9.978902459716798
3,555095,0.1529,13.621368243408202
3,302988,0.1506,4.956583249664306
3,185586,0.1169,8.287886393737793
3,416982,0.1079,14.359018026733398
3,378571,0.1001,14.503724780273437
3,354653,0.1,14.506285684204101
3,412251,0.1,14.506285690307617
3,356691,0.1,14.50535415649414
3,813311,0.1,14.506285684204101
3,1001009,0.1,14.506285690307617
3,526018,0.1,2.3043223598480225
3,657382,0.1,2.3083601264953613
3,716429,0.1,14.50628564453125
3,367351,0.1,14.50628570251465
4,135629,0.4181,1.6401315692901612
4,135629,0.4181,1.6401315692901612
4,280665,0.4009,1.677261766242981
4,283735,0.4005,1.6632710382461549
4,873559,0.4005,1.6632710382461549
4,477478,0.3993,1.6746228921890258
4,1018358,0.3989,1.670240961074829
4,1018358,0.3989,1.670240961074829
4,280667,0.3971,1.6850145280838014
4,135423,0.3959,1.686219025039673
